TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-12,2026-02-12,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15609.9,15995.99,15609.9,15792.66,15799.0,16296.0,,15792.66,,,34,536727.97,22,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15502.0,15949.0,15502.0,15850.0,15850.0,15839.0,,15850.0,,,49,776603.88,13,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15996.99,15996.99,15801.0,15834.07,15802.0,15770.87,,15834.07,,,39,618224.98,21,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15801.0,15801.0,15800.0,15800.0,15800.0,15887.0,,15800.0,,,7,110604.0,3,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15386.98,15869.0,15386.98,15844.55,15850.0,15701.0,,15844.55,,,55,870539.96,18,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15765.0,15870.0,15765.0,15870.0,15870.0,15833.8,,15870.0,,,2,31635.0,2,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15952.29,15955.29,15952.29,15955.29,15955.29,15955.29,,15955.29,,,3,47862.87,2,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15701.1,15891.93,15701.1,15850.0,15850.0,15780.0,,15850.0,,,28,442942.68,8,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15801.0,15850.0,15762.0,15850.0,15850.0,15805.13,,15850.0,,,27,426420.01,14,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15900.0,15945.0,15800.0,15879.69,15879.98,15811.79,,15881.16,,,101,1600789.18,49,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15801.0,15884.9,15799.0,15811.0,15811.0,15801.0,,15819.75,,,80,1265503.84,24,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15809.98,15888.0,15773.13,15879.0,15888.0,15783.1,,15879.0,,,200,3162383.57,40,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15812.0,15894.0,15811.0,15887.0,15887.0,15803.0,,15887.0,,,26,412740.0,6,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15829.07,15965.0,15802.0,15920.6,15949.99,15929.07,,15936.31,,,1608,25552274.46,211,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15827.0,15900.0,15820.0,15897.5,15900.0,15812.71,,15884.0,,,165,2615040.02,42,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15897.0,15900.0,15764.0,15871.38,15870.0,15805.11,,15871.38,,,259,4104969.0,45,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,15949.0,15949.0,15802.0,15802.0,15802.0,15800.0,,15802.0,,,9,142979.0,5,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15801.0,15867.0,15801.0,15867.0,15867.0,15808.55,,15867.0,,,6,95023.0,4,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15800.0,15950.0,15796.0,15884.89,15950.0,15827.33,,15884.89,,,154,2437964.22,50,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15849.0,15880.0,15790.0,15820.0,15820.0,15800.34,,15820.0,,,115,1820675.0,31,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,16007.0,16088.88,15940.0,15946.48,15940.0,15983.09,,15946.34,,,128,2048435.62,34,F1,1,,,,,
2026-02-12,2026-02-12,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,15800.0,15990.0,15800.0,15967.59,15933.59,15787.86,,15957.54,,,188,2984532.41,65,F1,1,,,,,
