TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-17,2026-02-17,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15350.0,15350.0,14930.0,14956.75,14930.0,15385.84,,14957.48,,,511,7671344.7,109,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15300.0,15300.0,14650.0,14997.96,14990.0,15405.29,,14997.96,,,271,4074645.27,102,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15401.0,15401.0,14906.0,14932.96,14950.0,15405.68,,14926.45,,,916,13792478.39,235,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15300.0,15300.0,14800.01,14944.47,14950.0,15402.24,,14940.14,,,565,8441225.18,131,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15300.0,15449.0,14810.01,14978.7,14928.0,15399.1,,14983.27,,,311,4673253.2,83,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15419.0,15419.0,14950.0,14959.42,14950.0,15426.85,,14959.17,,,652,9801412.37,138,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15399.0,15399.0,14901.0,15006.8,15025.0,15420.71,,15008.12,,,190,2860711.44,77,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,14615.0,15279.99,14000.0,14823.42,14819.0,15351.0,,14823.42,,,112,1654184.61,34,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,14201.0,15199.99,14201.0,14899.0,14899.0,15699.0,,14899.0,,,39,568747.95,16,F1,1,,,,,
2026-02-17,2026-02-17,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15001.0,15250.0,14751.01,14801.21,14801.0,15437.0,,14801.21,,,42,627270.57,10,F1,1,,,,,
