TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-20,2026-02-20,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15054.0,15300.0,15054.0,15288.88,15300.0,15100.0,,15288.88,,,168,2556345.97,75,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15099.0,15300.0,15099.0,15235.51,15211.0,15127.17,,15235.51,,,292,4432108.07,70,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15203.76,15389.0,15071.0,15357.47,15389.0,15203.76,,15355.84,,,343,5239498.56,84,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15125.0,15350.01,15101.0,15289.74,15335.0,15125.0,,15289.74,,,222,3379776.47,64,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15100.0,15300.0,15100.0,15260.87,15300.0,15123.63,,15255.06,,,209,3176150.4,54,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15027.2,15323.05,15026.2,15320.0,15320.0,15142.84,,15341.29,,,848,12894975.52,134,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15140.19,15350.0,15071.14,15331.63,15350.0,15190.28,,15322.69,,,207,3147532.39,52,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15102.0,15250.0,15050.0,15250.0,15250.0,15101.0,,15250.0,,,241,3640347.74,20,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15149.0,15199.99,15105.0,15105.0,15105.0,15008.01,,15105.0,,,17,257722.92,5,F1,1,,,,,
2026-02-20,2026-02-20,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15195.99,15205.0,15100.0,15202.33,15205.0,15299.0,,15202.33,,,12,182090.94,8,F1,1,,,,,
