TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-24,2026-02-24,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15859.0,15859.0,15684.35,15719.87,15731.0,15632.45,,15719.87,,,316,4969039.31,46,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15878.99,15878.99,15646.0,15717.77,15700.0,15627.11,,15717.77,,,140,2197699.63,52,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15889.0,15919.0,15670.01,15892.78,15811.0,15745.37,,15892.86,,,866,13658129.15,216,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15851.0,15879.0,15617.18,15756.8,15800.0,15717.73,,15654.53,,,376,5911680.25,75,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15638.0,15750.0,15635.01,15727.87,15749.99,15634.2,,15727.51,,,265,4162763.87,52,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15666.0,16000.0,15650.0,15804.75,15702.02,15726.7,,15806.67,,,1382,21755522.58,142,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15750.0,15849.0,15616.0,15810.7,15847.0,15662.52,,15810.7,,,271,4266145.9,87,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15725.0,15750.0,15647.0,15647.0,15647.0,15646.0,,15798.0,,,59,929118.7,6,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15635.12,15750.0,15635.12,15750.0,15750.0,15604.07,,15750.0,,,11,173020.04,4,F1,1,,,,,
2026-02-24,2026-02-24,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15600.99,15700.0,15600.0,15657.82,15660.0,15601.0,,15657.82,,,244,3811762.53,37,F1,1,,,,,
