TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-16,2026-02-16,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15436.01,15798.99,15350.0,15385.84,15370.0,15430.06,,15386.82,,,128,1972338.85,57,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15833.46,15833.46,15390.0,15405.29,15390.0,15523.0,,15405.29,,,107,1653792.1,46,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15874.7,15874.7,15390.0,15405.68,15400.0,15563.39,,15405.01,,,1494,23045343.74,216,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15431.0,15597.0,15390.0,15402.24,15390.0,15448.82,,15393.27,,,180,2778666.42,46,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15501.0,15698.99,15305.01,15399.1,15398.0,15478.8,,15401.19,,,80,1234706.44,34,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15506.0,15769.0,15419.0,15426.85,15420.0,15575.16,,15426.85,,,627,9690021.27,115,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15370.0,15882.0,15370.0,15420.71,15410.0,15570.19,,15420.71,,,123,1903821.39,48,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,15499.99,15499.99,15351.0,15351.0,15351.0,15501.0,,15351.0,,,17,261413.98,5,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15449.0,15449.0,15415.0,15437.0,15437.0,15415.33,,15437.0,,,51,787084.63,12,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15346.0,15346.0,15346.0,15346.0,15346.0,15346.0,,15346.0,,,15,230190.0,3,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15504.05,15506.02,15305.0,15360.0,15360.0,15503.05,,15360.0,,,110,1691878.5,30,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15429.0,15583.33,15425.0,15441.41,15425.0,15429.9,,15441.41,,,233,3608061.67,57,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15499.0,15499.0,15430.0,15432.0,15430.0,15499.0,,15432.0,,,34,526663.0,11,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15519.61,15519.61,15321.0,15321.0,15321.0,15499.0,,15410.0,,,2,30840.61,2,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15117.01,15401.0,15117.01,15401.0,15401.0,15955.29,,15401.0,,,43,655771.03,5,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15101.0,15499.99,15101.0,15277.0,15277.0,15458.33,,14889.0,,,63,961359.97,9,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15501.0,15501.0,15351.01,15496.99,15496.99,15499.98,,15496.5,,,51,787968.16,19,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15518.27,15550.0,15443.43,15465.71,15443.43,15517.27,,15465.71,,,110,1705779.23,51,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15447.54,15451.01,15350.0,15374.09,15350.0,15447.54,,15374.59,,,147,2262404.17,49,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15580.0,15580.0,15317.03,15420.0,15420.0,15452.36,,15396.0,,,195,3004120.49,72,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15371.0,15371.0,15371.0,15371.0,15371.0,15499.99,,15371.0,,,5,76855.0,2,F1,1,,,,,
2026-02-16,2026-02-16,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15476.01,15644.0,15353.0,15376.81,15380.0,15473.72,,15379.53,,,1298,20005489.45,282,F1,1,,,,,
