symbol,open,high,low,close,exchange
20MICRONS,180.4499969482422,184.25,180.39999389648438,183.75,BSE
21STCENMGM,38.5,39.099998474121094,38.25,39.099998474121094,BSE
360ONE,1116.300048828125,1135.199951171875,1095.4000244140625,1119.0999755859375,BSE
SILVER360,232.25999450683594,236.0800018310547,229.6199951171875,234.49000549316406,BSE
3IINFOLTD,15.630000114440918,15.640000343322754,14.75,14.960000038146973,BSE
3MINDIA,34555.05078125,36185.1015625,34000.0,36137.44921875,BSE
3PLAND,33.65999984741211,35.0,33.36000061035156,35.0,BSE
5PAISA,315.75,329.0,314.0,327.75,BSE
63MOONS,684.75,689.4000244140625,666.5999755859375,672.9500122070312,BSE
ABCOTS,450.0,450.0,450.0,450.0,BSE
ABINFRA,20.149999618530273,21.5,19.65999984741211,21.260000228881836,BSE
A2ZINFRA,14.880000114440918,15.220000267028809,14.529999732971191,14.649999618530273,BSE
AAATECH,114.9000015258789,114.9000015258789,108.25,108.30000305175781,BSE
AADHARHFC,467.8999938964844,472.0,461.54998779296875,462.45001220703125,BSE
AAREYDRUGS,69.97000122070312,69.97000122070312,64.38999938964844,66.55999755859375,BSE
AARNAV,27.770000457763672,28.709999084472656,27.5,27.530000686645508,BSE
AARTECH,46.65999984741211,46.65999984741211,46.099998474121094,46.63999938964844,BSE
AARTIDRUGS,371.29998779296875,373.0,366.95001220703125,371.54998779296875,BSE
AARTIIND,445.8999938964844,461.1499938964844,444.5,454.29998779296875,BSE
AARTIPHARM,705.0,723.4000244140625,698.7999877929688,711.9000244140625,BSE
AARTISURF,420.6499938964844,434.3500061035156,410.6499938964844,411.54998779296875,BSE
AAVAS,1286.050048828125,1299.449951171875,1266.449951171875,1297.8499755859375,BSE
AFSL,202.5,202.5,201.0,201.0,BSE
ABB,5751.7001953125,5910.0,5742.5,5889.14990234375,BSE
ABBOTINDIA,26460.05078125,26650.0,26250.0,26323.150390625,BSE
ACC,1632.5,1648.8499755859375,1621.0999755859375,1631.75,BSE
ACCELYA,1180.050048828125,1187.4000244140625,1170.0,1173.449951171875,BSE
ACCURACY,5.0,5.21999979019165,4.75,4.960000038146973,BSE
ACMESOLAR,221.25,226.6999969482422,220.9499969482422,225.9499969482422,BSE
ACE,890.0499877929688,911.8499755859375,882.0,909.75,BSE
ACUTAAS,2006.949951171875,2072.85009765625,2006.949951171875,2035.75,BSE
ADANIENSOL,965.1500244140625,1007.3499755859375,965.1500244140625,1004.0,BSE
ADANIENT,2112.10009765625,2189.0,2103.949951171875,2184.64990234375,BSE
ADANIGREEN,946.8499755859375,998.7999877929688,936.7000122070312,991.0499877929688,BSE
ADANIPORTS,1506.699951171875,1546.300048828125,1495.550048828125,1541.5999755859375,BSE
ADANIPOWER,140.10000610351562,143.64999389648438,139.0500030517578,142.8000030517578,BSE
ATGL,519.9000244140625,530.25,515.0499877929688,528.7999877929688,BSE
ADFFOODS,216.0,230.0,216.0,224.75,BSE
ABSLAMC,870.0,886.0,860.3499755859375,876.5499877929688,BSE
ABCAPITAL,334.8500061035156,345.54998779296875,331.1000061035156,345.04998779296875,BSE
ABFRL,73.9800033569336,74.3499984741211,72.08999633789062,72.48999786376953,BSE
ABLBL,113.5,113.5,110.55000305175781,110.94999694824219,BSE
BIRLAMONEY,133.4499969482422,133.6999969482422,132.25,133.5,BSE
ABREL,1387.5,1409.199951171875,1372.199951171875,1386.550048828125,BSE
CPPLUS,1604.75,1676.75,1556.949951171875,1569.3499755859375,BSE
AVL,505.75,512.8499755859375,496.6000061035156,510.0,BSE
BSLGOLDETF,134.22999572753906,135.49000549316406,133.50999450683594,134.9499969482422,BSE
ADOR,1047.949951171875,1059.449951171875,1039.550048828125,1045.6500244140625,BSE
ADROITINFO,10.0,10.0,10.0,10.0,BSE
ADVAIT,1738.0,1738.0,1650.449951171875,1657.800048828125,BSE
ADVANCE,136.39999389648438,136.39999389648438,133.85000610351562,135.25,BSE
ADVENZYMES,297.20001220703125,300.8999938964844,293.8999938964844,296.45001220703125,BSE
